timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1585292941260,1247,http://loxodo.tech/api/replenishment/request?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&limit=0&page=0&sort_by=%7B%7D,500,Internal Server Error,Thread Group 1-1,text,false,,461,735,1,1,http://loxodo.tech/api/replenishment/request?limit=0&page=0&sort_by=%7B%7D&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,1247,0,0
1585292942509,2438,http://loxodo.tech/api/warehouses/all,200,OK,Thread Group 1-1,text,true,,5123,648,1,1,http://loxodo.tech/api/warehouses/all,1792,0,278
1585292944948,7167,http://loxodo.tech/api/container/ids?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50,200,OK,Thread Group 1-1,text,true,,424,713,1,1,http://loxodo.tech/api/container/ids?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,7167,0,285
1585292952118,688,http://loxodo.tech/api/container/ids?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50,200,OK,Thread Group 1-1,text,true,,424,713,1,1,http://loxodo.tech/api/container/ids?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,688,0,281
1585292952808,443,http://loxodo.tech/api/production-requests?warehouse_ID=aa419789-d3f8-44ca-b7bb-393dfb6834a0&paginate=true&status=0,500,Internal Server Error,Thread Group 1-1,text,false,,519,726,1,1,http://loxodo.tech/api/production-requests?paginate=true&warehouse_ID=aa419789-d3f8-44ca-b7bb-393dfb6834a0&status=0,443,0,0
1585292953253,2210,http://loxodo.tech/api/warehouses/all,200,OK,Thread Group 1-1,text,true,,5123,648,1,1,http://loxodo.tech/api/warehouses/all,1930,0,0
1585292955465,663,http://loxodo.tech/api/container/ids?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50,200,OK,Thread Group 1-1,text,true,,424,713,1,1,http://loxodo.tech/api/container/ids?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,663,0,278
1585292956130,607,http://loxodo.tech/api/container/ids?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50,200,OK,Thread Group 1-1,text,true,,424,713,1,1,http://loxodo.tech/api/container/ids?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,607,0,0
1585292956739,554,http://loxodo.tech/api/zones?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50,200,OK,Thread Group 1-1,text,true,,1092,705,1,1,http://loxodo.tech/api/zones?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,553,0,0
1585292957295,953,"http://loxodo.tech/api/v2/supply-to-production/tasks?warehouse_ID=aa419789-d3f8-44ca-b7bb-393dfb6834a0&paginate=true&status=%5B0,1%5D",200,OK,Thread Group 1-1,text,true,,416,746,1,1,http://loxodo.tech/api/v2/supply-to-production/tasks?paginate=true&warehouse_ID=aa419789-d3f8-44ca-b7bb-393dfb6834a0&status=%5B0%2C1%5D,953,0,0
1585292958250,670,http://loxodo.tech/api/warehouses/all,200,OK,Thread Group 1-1,text,true,,5123,648,1,1,http://loxodo.tech/api/warehouses/all,670,0,299
1585292958922,362,http://loxodo.tech/api/container/ids?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50,200,OK,Thread Group 1-1,text,true,,424,713,1,1,http://loxodo.tech/api/container/ids?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,362,0,0
